month,geo,programme,seniority,skill,n
2026-08,nl,all,all,agile-scrum,12
2026-08,nl,all,all,ai-llm,17
2026-08,nl,all,all,android,3
2026-08,nl,all,all,angular,4
2026-08,nl,all,all,aws,9
2026-08,nl,all,all,azure,23
2026-08,nl,all,all,ci-cd,13
2026-08,nl,all,all,cpp,4
2026-08,nl,all,all,crm,4
2026-08,nl,all,all,csharp,3
2026-08,nl,all,all,cybersecurity,32
2026-08,nl,all,all,data-analysis,4
2026-08,nl,all,all,data-modelling,4
2026-08,nl,all,all,docker,3
2026-08,nl,all,all,dotnet,8
2026-08,nl,all,all,dutch-language,14
2026-08,nl,all,all,electronics,1
2026-08,nl,all,all,embedded,6
2026-08,nl,all,all,english-language,10
2026-08,nl,all,all,erp,23
2026-08,nl,all,all,etl,4
2026-08,nl,all,all,excel,4
2026-08,nl,all,all,gcp,1
2026-08,nl,all,all,git,3
2026-08,nl,all,all,golang,3
2026-08,nl,all,all,html-css,5
2026-08,nl,all,all,ios,3
2026-08,nl,all,all,iso27001,6
2026-08,nl,all,all,java,12
2026-08,nl,all,all,javascript,9
2026-08,nl,all,all,kotlin,2
2026-08,nl,all,all,kubernetes,8
2026-08,nl,all,all,laravel,2
2026-08,nl,all,all,linux,9
2026-08,nl,all,all,machine-learning,13
2026-08,nl,all,all,networking,12
2026-08,nl,all,all,nodejs,4
2026-08,nl,all,all,nosql,1
2026-08,nl,all,all,oop,1
2026-08,nl,all,all,php,6
2026-08,nl,all,all,plc,3
2026-08,nl,all,all,power-bi,3
2026-08,nl,all,all,process-modelling,2
2026-08,nl,all,all,project-management,9
2026-08,nl,all,all,python,13
2026-08,nl,all,all,react,7
2026-08,nl,all,all,requirements,12
2026-08,nl,all,all,rest-api,2
2026-08,nl,all,all,robotics,1
2026-08,nl,all,all,spark,5
2026-08,nl,all,all,spring,4
2026-08,nl,all,all,sql,14
2026-08,nl,all,all,stakeholder-management,28
2026-08,nl,all,all,swift,1
2026-08,nl,all,all,terraform,7
2026-08,nl,all,all,testing,3
2026-08,nl,all,all,typescript,7
2026-08,nl,all,all,ux-design,7
2026-08,nl,all,all,vue,3
2026-08,nl,all,all,windows-server,16
2026-08,nl,all,entry,agile-scrum,1
2026-08,nl,all,entry,ai-llm,1
2026-08,nl,all,entry,angular,1
2026-08,nl,all,entry,crm,1
2026-08,nl,all,entry,csharp,1
2026-08,nl,all,entry,cybersecurity,1
2026-08,nl,all,entry,dotnet,1
2026-08,nl,all,entry,dutch-language,1
2026-08,nl,all,entry,english-language,1
2026-08,nl,all,entry,erp,1
2026-08,nl,all,entry,excel,2
2026-08,nl,all,entry,html-css,3
2026-08,nl,all,entry,javascript,1
2026-08,nl,all,entry,machine-learning,2
2026-08,nl,all,entry,networking,1
2026-08,nl,all,entry,plc,1
2026-08,nl,all,entry,power-bi,1
2026-08,nl,all,entry,project-management,2
2026-08,nl,all,entry,python,1
2026-08,nl,all,entry,react,1
2026-08,nl,all,entry,requirements,1
2026-08,nl,all,entry,sql,2
