month,geo,programme,seniority,n
2026-08,nl,all,all,216
2026-08,nl,all,entry,9
2026-08,nl,all,internship,1
2026-08,nl,all,junior,8
2026-08,nl,all,medior,7
2026-08,nl,all,senior,60
2026-08,nl,all,unknown,140
2026-08,nl,business-it-management,all,34
2026-08,nl,business-it-management,entry,1
2026-08,nl,business-it-management,junior,1
2026-08,nl,business-it-management,medior,2
2026-08,nl,business-it-management,senior,5
2026-08,nl,business-it-management,unknown,26
2026-08,nl,informatica,all,133
2026-08,nl,informatica,entry,6
2026-08,nl,informatica,junior,6
2026-08,nl,informatica,medior,4
2026-08,nl,informatica,senior,48
2026-08,nl,informatica,unknown,75
2026-08,nl,technische-informatica,all,61
2026-08,nl,technische-informatica,medior,1
2026-08,nl,technische-informatica,senior,18
2026-08,nl,technische-informatica,unknown,42
2026-08,p:friesland,all,all,2
2026-08,p:friesland,all,entry,2
2026-08,p:friesland,all,junior,2
2026-08,p:friesland,informatica,all,1
2026-08,p:friesland,informatica,entry,1
2026-08,p:friesland,informatica,junior,1
2026-08,p:gelderland,all,all,5
2026-08,p:gelderland,all,senior,2
2026-08,p:gelderland,all,unknown,3
2026-08,p:gelderland,business-it-management,all,1
2026-08,p:gelderland,business-it-management,unknown,1
2026-08,p:gelderland,informatica,all,3
2026-08,p:gelderland,informatica,senior,2
2026-08,p:gelderland,informatica,unknown,1
2026-08,p:gelderland,technische-informatica,all,2
2026-08,p:gelderland,technische-informatica,senior,1
2026-08,p:gelderland,technische-informatica,unknown,1
2026-08,p:noord-brabant,all,all,34
2026-08,p:noord-brabant,all,medior,1
2026-08,p:noord-brabant,all,senior,9
2026-08,p:noord-brabant,all,unknown,24
2026-08,p:noord-brabant,business-it-management,all,8
2026-08,p:noord-brabant,business-it-management,senior,1
2026-08,p:noord-brabant,business-it-management,unknown,7
2026-08,p:noord-brabant,informatica,all,18
2026-08,p:noord-brabant,informatica,medior,1
2026-08,p:noord-brabant,informatica,senior,8
2026-08,p:noord-brabant,informatica,unknown,9
2026-08,p:noord-brabant,technische-informatica,all,7
2026-08,p:noord-brabant,technische-informatica,medior,1
2026-08,p:noord-brabant,technische-informatica,senior,1
2026-08,p:noord-brabant,technische-informatica,unknown,5
2026-08,p:noord-holland,all,all,48
2026-08,p:noord-holland,all,entry,2
2026-08,p:noord-holland,all,junior,2
2026-08,p:noord-holland,all,medior,1
2026-08,p:noord-holland,all,senior,14
2026-08,p:noord-holland,all,unknown,31
2026-08,p:noord-holland,business-it-management,all,5
2026-08,p:noord-holland,business-it-management,entry,1
2026-08,p:noord-holland,business-it-management,junior,1
2026-08,p:noord-holland,business-it-management,senior,1
2026-08,p:noord-holland,business-it-management,unknown,3
2026-08,p:noord-holland,informatica,all,35
2026-08,p:noord-holland,informatica,entry,1
2026-08,p:noord-holland,informatica,junior,1
2026-08,p:noord-holland,informatica,medior,1
2026-08,p:noord-holland,informatica,senior,13
2026-08,p:noord-holland,informatica,unknown,20
2026-08,p:noord-holland,technische-informatica,all,19
2026-08,p:noord-holland,technische-informatica,senior,6
2026-08,p:noord-holland,technische-informatica,unknown,13
2026-08,p:overijssel,all,all,2
2026-08,p:overijssel,all,unknown,2
2026-08,p:overijssel,informatica,all,2
2026-08,p:overijssel,informatica,unknown,2
2026-08,p:utrecht,all,all,18
2026-08,p:utrecht,all,senior,7
2026-08,p:utrecht,all,unknown,11
2026-08,p:utrecht,business-it-management,all,1
2026-08,p:utrecht,business-it-management,senior,1
2026-08,p:utrecht,informatica,all,8
2026-08,p:utrecht,informatica,senior,4
2026-08,p:utrecht,informatica,unknown,4
2026-08,p:utrecht,technische-informatica,all,4
2026-08,p:utrecht,technische-informatica,senior,2
2026-08,p:utrecht,technische-informatica,unknown,2
2026-08,p:zuid-holland,all,all,16
2026-08,p:zuid-holland,all,entry,1
2026-08,p:zuid-holland,all,junior,1
2026-08,p:zuid-holland,all,senior,4
2026-08,p:zuid-holland,all,unknown,11
2026-08,p:zuid-holland,business-it-management,all,2
2026-08,p:zuid-holland,business-it-management,unknown,2
2026-08,p:zuid-holland,informatica,all,12
2026-08,p:zuid-holland,informatica,entry,1
2026-08,p:zuid-holland,informatica,junior,1
2026-08,p:zuid-holland,informatica,senior,4
2026-08,p:zuid-holland,informatica,unknown,7
2026-08,p:zuid-holland,technische-informatica,all,4
2026-08,p:zuid-holland,technische-informatica,unknown,4
2026-08,r:amersfoort,all,all,3
2026-08,r:amersfoort,all,unknown,3
2026-08,r:amersfoort,informatica,all,1
2026-08,r:amersfoort,informatica,unknown,1
2026-08,r:friesland,all,all,1
2026-08,r:friesland,all,entry,1
2026-08,r:friesland,all,junior,1
2026-08,r:groot-amsterdam,all,all,45
2026-08,r:groot-amsterdam,all,entry,2
2026-08,r:groot-amsterdam,all,junior,2
2026-08,r:groot-amsterdam,all,medior,1
2026-08,r:groot-amsterdam,all,senior,13
2026-08,r:groot-amsterdam,all,unknown,29
2026-08,r:groot-amsterdam,business-it-management,all,5
2026-08,r:groot-amsterdam,business-it-management,entry,1
2026-08,r:groot-amsterdam,business-it-management,junior,1
2026-08,r:groot-amsterdam,business-it-management,senior,1
2026-08,r:groot-amsterdam,business-it-management,unknown,3
2026-08,r:groot-amsterdam,informatica,all,32
2026-08,r:groot-amsterdam,informatica,entry,1
2026-08,r:groot-amsterdam,informatica,junior,1
2026-08,r:groot-amsterdam,informatica,medior,1
2026-08,r:groot-amsterdam,informatica,senior,12
2026-08,r:groot-amsterdam,informatica,unknown,18
2026-08,r:groot-amsterdam,technische-informatica,all,19
