name,code,year,corop_code,corop,region_code,region,province_code,province
Aa en Hunze,GM1680,2026,CR07,Noord-Drenthe,AM01,Groningen,PV22,Drenthe
Aalburg,GM0738,2018,CR34,Midden-Noord-Brabant,AM25,West-Brabant,PV30,Noord-Brabant
Aalsmeer,GM0358,2026,CR23,Groot-Amsterdam,AM18,Groot Amsterdam,PV27,Noord-Holland
Aalten,GM0197,2026,CR14,Achterhoek,AM09,Achterhoek,PV25,Gelderland
Abcoude,GM0305,2010,CR17,Utrecht,,,PV26,Utrecht
Achtkarspelen,GM0059,2026,CR04,Noord-Friesland,AM02,Friesland,PV21,Fryslân
Alblasserdam,GM0482,2026,CR30,Zuidoost-Zuid-Holland,AM23,Drechtsteden,PV28,Zuid-Holland
Albrandswaard,GM0613,2026,CR29,Groot-Rijnmond,AM22,Rijnmond,PV28,Zuid-Holland
Alkmaar,GM0361,2026,CR19,Alkmaar en omgeving,AM15,Noord-Holland Noord,PV27,Noord-Holland
Almelo,GM0141,2026,CR12,Twente,AM05,Twente,PV23,Overijssel
Almere,GM0034,2026,CR40,Flevoland,AM11,Flevoland,PV24,Flevoland
Alphen aan den Rijn,GM0484,2026,CR28,Oost-Zuid-Holland,AM19,Holland Rijnland,PV28,Zuid-Holland
Alphen-Chaam,GM1723,2026,CR34,Midden-Noord-Brabant,AM26,Midden-Brabant,PV30,Noord-Brabant
Altena,GM1959,2026,CR34,Midden-Noord-Brabant,AM25,West-Brabant,PV30,Noord-Brabant
Ameland,GM0060,2026,CR04,Noord-Friesland,AM02,Friesland,PV21,Fryslân
Amersfoort,GM0307,2026,CR17,Utrecht,AM14,Amersfoort,PV26,Utrecht
Amstelveen,GM0362,2026,CR23,Groot-Amsterdam,AM18,Groot Amsterdam,PV27,Noord-Holland
Amsterdam,GM0363,2026,CR23,Groot-Amsterdam,AM18,Groot Amsterdam,PV27,Noord-Holland
Andijk,GM0364,2010,CR18,Kop van Noord-Holland,,,PV27,Noord-Holland
Anna Paulowna,GM0366,2011,CR18,Kop van Noord-Holland,,,PV27,Noord-Holland
Apeldoorn,GM0200,2026,CR13,Veluwe,AM06,Veluwe Stedendriehoek,PV25,Gelderland
Appingedam,GM0003,2020,CR02,Delfzijl en omgeving,AM01,Groningen,PV20,Groningen
