nuts3_code,name,corop_code
NL111,Oost-Groningen,CR01
NL112,Delfzijl en omgeving,CR02
NL113,Overig Groningen,CR03
NL114,Oost-Groningen,CR01
NL115,Overig Groningen,CR03
NL124,Noord-Friesland,CR04
NL125,Zuidwest-Friesland,CR05
NL126,Zuidoost-Friesland,CR06
NL127,Noord-Friesland,CR04
NL128,Zuidwest-Friesland,CR05
NL131,Noord-Drenthe,CR07
NL132,Zuidoost-Drenthe,CR08
NL133,Zuidwest-Drenthe,CR09
NL211,Noord-Overijssel,CR10
NL212,Zuidwest-Overijssel,CR11
NL213,Twente,CR12
NL221,Veluwe,CR13
NL224,Zuidwest-Gelderland,CR16
NL225,Achterhoek,CR14
NL226,Arnhem/Nijmegen,CR15
NL230,Flevoland,CR40
NL310,Utrecht,CR17
NL321,Kop van Noord-Holland,CR18
NL323,IJmond,CR20
NL324,Agglomeratie Haarlem,CR21
NL325,Zaanstreek,CR22
NL327,Het Gooi en Vechtstreek,CR24
NL328,Alkmaar en omgeving,CR19
NL329,Groot-Amsterdam,CR23
NL32A,Agglomeratie Haarlem,CR21
NL32B,Groot-Amsterdam,CR23
NL332,Agglomeratie 's-Gravenhage,CR26
NL333,Delft en Westland,CR27
NL337,Agglomeratie Leiden en Bollenstreek,CR25
NL33A,Zuidoost-Zuid-Holland,CR30
NL33B,Oost-Zuid-Holland,CR28
NL33C,Groot-Rijnmond,CR29
NL341,Zeeuwsch-Vlaanderen,CR31
NL342,Overig Zeeland,CR32
NL350,Utrecht,CR17
NL361,Agglomeratie 's-Gravenhage,CR26
NL362,Delft en Westland,CR27
NL363,Agglomeratie Leiden en Bollenstreek,CR25
NL364,Zuidoost-Zuid-Holland,CR30
NL365,Oost-Zuid-Holland,CR28
NL366,Groot-Rijnmond,CR29
NL411,West-Noord-Brabant,CR33
NL412,Midden-Noord-Brabant,CR34
NL413,Noordoost-Noord-Brabant,CR35
NL414,Zuidoost-Noord-Brabant,CR36
NL415,Midden-Noord-Brabant,CR34
NL416,Noordoost-Noord-Brabant,CR35
NL421,Noord-Limburg,CR37
NL422,Midden-Limburg,CR38
NL423,Zuid-Limburg,CR39
