month,geo,programme,family,n
2026-08,nl,all,business-functional-analyst,7
2026-08,nl,all,data-ai-engineer,13
2026-08,nl,all,data-bi-analyst,4
2026-08,nl,all,devops-cloud-engineer,27
2026-08,nl,all,embedded-engineer,2
2026-08,nl,all,functional-application-manager,3
2026-08,nl,all,industrial-automation,2
2026-08,nl,all,it-auditor,1
2026-08,nl,all,it-consultant,1
2026-08,nl,all,network-infrastructure-engineer,12
2026-08,nl,all,product-project-role,15
2026-08,nl,all,security-specialist,18
2026-08,nl,all,software-architect,5
2026-08,nl,all,software-developer,69
2026-08,nl,all,software-tester,5
2026-08,nl,all,technical-application-manager,4
2026-08,nl,all,web-mobile-developer,1
2026-08,nl,business-it-management,business-functional-analyst,7
2026-08,nl,business-it-management,data-bi-analyst,4
2026-08,nl,business-it-management,functional-application-manager,3
2026-08,nl,business-it-management,it-auditor,1
2026-08,nl,business-it-management,it-consultant,1
2026-08,nl,business-it-management,product-project-role,15
2026-08,nl,business-it-management,technical-application-manager,3
2026-08,nl,informatica,data-ai-engineer,13
2026-08,nl,informatica,devops-cloud-engineer,18
2026-08,nl,informatica,security-specialist,18
2026-08,nl,informatica,software-architect,5
2026-08,nl,informatica,software-developer,69
2026-08,nl,informatica,software-tester,5
2026-08,nl,informatica,technical-application-manager,4
2026-08,nl,informatica,web-mobile-developer,1
2026-08,nl,technische-informatica,devops-cloud-engineer,27
2026-08,nl,technische-informatica,embedded-engineer,2
2026-08,nl,technische-informatica,industrial-automation,2
2026-08,nl,technische-informatica,network-infrastructure-engineer,12
2026-08,nl,technische-informatica,security-specialist,18
2026-08,p:friesland,all,data-ai-engineer,1
2026-08,p:friesland,informatica,data-ai-engineer,1
2026-08,p:gelderland,all,data-ai-engineer,1
2026-08,p:gelderland,all,data-bi-analyst,1
2026-08,p:gelderland,all,devops-cloud-engineer,1
2026-08,p:gelderland,all,network-infrastructure-engineer,1
2026-08,p:gelderland,all,software-developer,1
2026-08,p:gelderland,business-it-management,data-bi-analyst,1
2026-08,p:gelderland,informatica,data-ai-engineer,1
2026-08,p:gelderland,informatica,devops-cloud-engineer,1
2026-08,p:gelderland,informatica,software-developer,1
2026-08,p:gelderland,technische-informatica,devops-cloud-engineer,1
2026-08,p:gelderland,technische-informatica,network-infrastructure-engineer,1
2026-08,p:noord-brabant,all,business-functional-analyst,1
2026-08,p:noord-brabant,all,data-bi-analyst,1
