month,geo,programme,seniority,bucket,n
2026-08,nl,all,all,122500,1
2026-08,nl,all,all,19200,1
2026-08,nl,all,all,30000,1
2026-08,nl,all,all,32500,5
2026-08,nl,all,all,35000,15
2026-08,nl,all,all,37500,3
2026-08,nl,all,all,40000,5
2026-08,nl,all,all,42500,4
2026-08,nl,all,all,45000,5
2026-08,nl,all,all,47500,3
2026-08,nl,all,all,50000,8
2026-08,nl,all,all,52500,9
2026-08,nl,all,all,55000,6
2026-08,nl,all,all,57500,3
2026-08,nl,all,all,60000,5
2026-08,nl,all,all,62500,6
2026-08,nl,all,all,65000,6
2026-08,nl,all,all,67500,1
2026-08,nl,all,all,70000,15
2026-08,nl,all,all,72500,1
2026-08,nl,all,all,75000,3
2026-08,nl,all,all,77500,5
2026-08,nl,all,all,80000,2
2026-08,nl,all,all,82500,15
2026-08,nl,all,all,85000,1
2026-08,nl,all,all,87500,2
2026-08,nl,all,all,95000,2
2026-08,nl,all,junior,30000,1
2026-08,nl,all,junior,32500,1
2026-08,nl,all,junior,35000,1
2026-08,nl,all,junior,37500,2
2026-08,nl,all,junior,65000,1
2026-08,nl,all,medior,45000,3
2026-08,nl,all,medior,50000,1
2026-08,nl,all,medior,52500,1
2026-08,nl,all,medior,65000,1
2026-08,nl,all,medior,70000,2
2026-08,nl,all,senior,122500,1
2026-08,nl,all,senior,50000,4
2026-08,nl,all,senior,52500,1
2026-08,nl,all,senior,55000,2
2026-08,nl,all,senior,57500,2
2026-08,nl,all,senior,62500,2
2026-08,nl,all,senior,65000,3
2026-08,nl,all,senior,70000,3
2026-08,nl,all,senior,75000,2
2026-08,nl,all,senior,77500,4
2026-08,nl,all,senior,80000,1
2026-08,nl,all,senior,82500,3
2026-08,nl,all,senior,85000,1
2026-08,nl,all,senior,95000,2
2026-08,nl,all,unknown,19200,1
2026-08,nl,all,unknown,32500,4
2026-08,nl,all,unknown,35000,14
2026-08,nl,all,unknown,37500,1
2026-08,nl,all,unknown,40000,5
2026-08,nl,all,unknown,42500,4
2026-08,nl,all,unknown,45000,2
2026-08,nl,all,unknown,47500,3
2026-08,nl,all,unknown,50000,3
2026-08,nl,all,unknown,52500,7
2026-08,nl,all,unknown,55000,4
2026-08,nl,all,unknown,57500,1
