month,geo,programme,seniority,skill,n
2026-08,nl,all,all,agile-scrum,4
2026-08,nl,all,all,ai-llm,11
2026-08,nl,all,all,android,3
2026-08,nl,all,all,angular,1
2026-08,nl,all,all,aws,6
2026-08,nl,all,all,azure,15
2026-08,nl,all,all,ci-cd,4
2026-08,nl,all,all,cpp,3
2026-08,nl,all,all,crm,1
2026-08,nl,all,all,csharp,2
2026-08,nl,all,all,cybersecurity,15
2026-08,nl,all,all,data-analysis,1
2026-08,nl,all,all,data-modelling,3
2026-08,nl,all,all,docker,1
2026-08,nl,all,all,dotnet,6
2026-08,nl,all,all,dutch-language,2
2026-08,nl,all,all,embedded,3
2026-08,nl,all,all,erp,9
2026-08,nl,all,all,etl,3
2026-08,nl,all,all,excel,1
2026-08,nl,all,all,gcp,1
2026-08,nl,all,all,git,2
2026-08,nl,all,all,golang,3
2026-08,nl,all,all,html-css,1
2026-08,nl,all,all,ios,3
2026-08,nl,all,all,java,10
2026-08,nl,all,all,javascript,4
2026-08,nl,all,all,kotlin,2
2026-08,nl,all,all,kubernetes,4
2026-08,nl,all,all,linux,6
2026-08,nl,all,all,machine-learning,10
2026-08,nl,all,all,networking,2
2026-08,nl,all,all,nodejs,3
2026-08,nl,all,all,nosql,1
2026-08,nl,all,all,php,2
2026-08,nl,all,all,plc,2
2026-08,nl,all,all,power-bi,1
2026-08,nl,all,all,project-management,3
2026-08,nl,all,all,python,7
2026-08,nl,all,all,react,4
2026-08,nl,all,all,requirements,6
2026-08,nl,all,all,rest-api,1
2026-08,nl,all,all,spark,5
2026-08,nl,all,all,spring,3
2026-08,nl,all,all,sql,7
2026-08,nl,all,all,stakeholder-management,7
2026-08,nl,all,all,terraform,3
2026-08,nl,all,all,typescript,5
2026-08,nl,all,all,ux-design,4
2026-08,nl,all,all,vue,1
2026-08,nl,all,all,windows-server,3
2026-08,nl,all,entry,ai-llm,1
2026-08,nl,all,entry,cybersecurity,1
2026-08,nl,all,entry,machine-learning,1
2026-08,nl,all,entry,plc,1
2026-08,nl,all,internship,ai-llm,1
2026-08,nl,all,internship,machine-learning,1
2026-08,nl,all,junior,cybersecurity,1
2026-08,nl,all,junior,plc,1
2026-08,nl,all,medior,cybersecurity,1
2026-08,nl,all,medior,java,1
2026-08,nl,all,medior,php,1
2026-08,nl,all,medior,project-management,1
2026-08,nl,all,medior,spring,1
2026-08,nl,all,medior,stakeholder-management,1
2026-08,nl,all,medior,typescript,1
2026-08,nl,all,medior,ux-design,1
2026-08,nl,all,senior,agile-scrum,1
2026-08,nl,all,senior,ai-llm,7
2026-08,nl,all,senior,angular,1
2026-08,nl,all,senior,aws,3
2026-08,nl,all,senior,azure,4
2026-08,nl,all,senior,ci-cd,3
2026-08,nl,all,senior,csharp,1
2026-08,nl,all,senior,cybersecurity,3
2026-08,nl,all,senior,data-modelling,1
2026-08,nl,all,senior,docker,1
2026-08,nl,all,senior,dotnet,1
2026-08,nl,all,senior,embedded,1
2026-08,nl,all,senior,erp,3
2026-08,nl,all,senior,etl,2
2026-08,nl,all,senior,excel,1
2026-08,nl,all,senior,gcp,1
2026-08,nl,all,senior,git,1
2026-08,nl,all,senior,golang,2
2026-08,nl,all,senior,java,3
2026-08,nl,all,senior,javascript,1
2026-08,nl,all,senior,kubernetes,3
2026-08,nl,all,senior,machine-learning,3
2026-08,nl,all,senior,nodejs,1
2026-08,nl,all,senior,project-management,1
2026-08,nl,all,senior,python,3
2026-08,nl,all,senior,react,1
2026-08,nl,all,senior,rest-api,1
2026-08,nl,all,senior,spark,2
2026-08,nl,all,senior,spring,1
2026-08,nl,all,senior,sql,2
2026-08,nl,all,senior,stakeholder-management,3
2026-08,nl,all,senior,terraform,1
2026-08,nl,all,senior,typescript,2
2026-08,nl,all,senior,windows-server,1
2026-08,nl,all,unknown,agile-scrum,3
2026-08,nl,all,unknown,ai-llm,3
2026-08,nl,all,unknown,android,3
2026-08,nl,all,unknown,aws,3
2026-08,nl,all,unknown,azure,11
2026-08,nl,all,unknown,ci-cd,1
2026-08,nl,all,unknown,cpp,3
2026-08,nl,all,unknown,crm,1
2026-08,nl,all,unknown,csharp,1
2026-08,nl,all,unknown,cybersecurity,10
2026-08,nl,all,unknown,data-analysis,1
2026-08,nl,all,unknown,data-modelling,2
2026-08,nl,all,unknown,dotnet,5
2026-08,nl,all,unknown,dutch-language,2
2026-08,nl,all,unknown,embedded,2
2026-08,nl,all,unknown,erp,6
2026-08,nl,all,unknown,etl,1
2026-08,nl,all,unknown,git,1
2026-08,nl,all,unknown,golang,1
2026-08,nl,all,unknown,html-css,1
2026-08,nl,all,unknown,ios,3
2026-08,nl,all,unknown,java,6
2026-08,nl,all,unknown,javascript,3
2026-08,nl,all,unknown,kotlin,2
2026-08,nl,all,unknown,kubernetes,1
2026-08,nl,all,unknown,linux,6
2026-08,nl,all,unknown,machine-learning,6
2026-08,nl,all,unknown,networking,2
2026-08,nl,all,unknown,nodejs,2
2026-08,nl,all,unknown,nosql,1
2026-08,nl,all,unknown,php,1
2026-08,nl,all,unknown,plc,1
2026-08,nl,all,unknown,power-bi,1
2026-08,nl,all,unknown,project-management,1
2026-08,nl,all,unknown,python,4
2026-08,nl,all,unknown,react,3
2026-08,nl,all,unknown,requirements,6
2026-08,nl,all,unknown,spark,3
2026-08,nl,all,unknown,spring,1
2026-08,nl,all,unknown,sql,5
2026-08,nl,all,unknown,stakeholder-management,3
2026-08,nl,all,unknown,terraform,2
2026-08,nl,all,unknown,typescript,2
2026-08,nl,all,unknown,ux-design,3
2026-08,nl,all,unknown,vue,1
2026-08,nl,all,unknown,windows-server,2
2026-08,nl,business-it-management,all,agile-scrum,1
2026-08,nl,business-it-management,all,android,1
2026-08,nl,business-it-management,all,crm,1
2026-08,nl,business-it-management,all,data-analysis,1
2026-08,nl,business-it-management,all,data-modelling,2
2026-08,nl,business-it-management,all,erp,2
2026-08,nl,business-it-management,all,ios,1
2026-08,nl,business-it-management,all,linux,1
2026-08,nl,business-it-management,all,power-bi,1
2026-08,nl,business-it-management,all,project-management,2
2026-08,nl,business-it-management,all,requirements,2
2026-08,nl,business-it-management,all,stakeholder-management,3
2026-08,nl,business-it-management,all,windows-server,1
2026-08,nl,business-it-management,medior,project-management,1
2026-08,nl,business-it-management,senior,erp,2
2026-08,nl,business-it-management,senior,project-management,1
2026-08,nl,business-it-management,senior,stakeholder-management,2
2026-08,nl,business-it-management,unknown,agile-scrum,1
2026-08,nl,business-it-management,unknown,android,1
2026-08,nl,business-it-management,unknown,crm,1
2026-08,nl,business-it-management,unknown,data-analysis,1
2026-08,nl,business-it-management,unknown,data-modelling,2
2026-08,nl,business-it-management,unknown,ios,1
2026-08,nl,business-it-management,unknown,linux,1
2026-08,nl,business-it-management,unknown,power-bi,1
2026-08,nl,business-it-management,unknown,requirements,2
2026-08,nl,business-it-management,unknown,stakeholder-management,1
2026-08,nl,business-it-management,unknown,windows-server,1
2026-08,nl,informatica,all,agile-scrum,2
2026-08,nl,informatica,all,ai-llm,10
2026-08,nl,informatica,all,angular,1
2026-08,nl,informatica,all,aws,6
2026-08,nl,informatica,all,azure,15
2026-08,nl,informatica,all,ci-cd,3
2026-08,nl,informatica,all,cpp,3
2026-08,nl,informatica,all,csharp,2
2026-08,nl,informatica,all,cybersecurity,12
2026-08,nl,informatica,all,docker,1
2026-08,nl,informatica,all,dotnet,6
2026-08,nl,informatica,all,dutch-language,1
