month,geo,programme,title,n
2026-08,nl,all,.net developer,2
2026-08,nl,all,ai engineer,2
2026-08,nl,all,applicatiebeheerder,1
2026-08,nl,all,azure cloud engineer,1
2026-08,nl,all,back end developer,1
2026-08,nl,all,business analist,3
2026-08,nl,all,business informatie analist,1
2026-08,nl,all,cloud architect,2
2026-08,nl,all,cloud engineer,2
2026-08,nl,all,data analist,1
2026-08,nl,all,data architect,1
2026-08,nl,all,data engineer,4
2026-08,nl,all,data scientist,1
2026-08,nl,all,developer,2
2026-08,nl,all,devops engineer,6
2026-08,nl,all,front end developer,2
2026-08,nl,all,front end engineer,1
2026-08,nl,all,full stack developer,1
2026-08,nl,all,fullstack developer,3
2026-08,nl,all,functioneel applicatiebeheerder,2
2026-08,nl,all,functioneel beheerder,2
2026-08,nl,all,golang platform engineer,2
2026-08,nl,all,information security officer,1
2026-08,nl,all,it coördinator,1
2026-08,nl,all,it platform engineer,1
2026-08,nl,all,microsoft 365 consultant,1
2026-08,nl,all,mlops engineer,1
2026-08,nl,all,netwerkbeheerder,1
2026-08,nl,all,php developer,2
2026-08,nl,all,plc software engineer,1
2026-08,nl,all,projectleider it,1
2026-08,nl,all,projectmanager it,2
2026-08,nl,all,security consultant,2
2026-08,nl,all,security officer,3
2026-08,nl,all,software architect,1
2026-08,nl,all,software developer,2
2026-08,nl,all,software engineer,10
2026-08,nl,all,solutions architect,1
2026-08,nl,all,support engineer,2
2026-08,nl,all,system engineer,1
2026-08,nl,all,technical information security officer,1
2026-08,nl,all,technical support engineer,1
2026-08,nl,all,technisch beheerder,1
2026-08,nl,all,test engineer,1
2026-08,nl,all,ux designer,2
2026-08,nl,business-it-management,applicatiebeheerder,1
2026-08,nl,business-it-management,business analist,3
2026-08,nl,business-it-management,business informatie analist,1
2026-08,nl,business-it-management,data analist,1
2026-08,nl,business-it-management,functioneel applicatiebeheerder,2
2026-08,nl,business-it-management,functioneel beheerder,2
2026-08,nl,business-it-management,it coördinator,1
2026-08,nl,business-it-management,microsoft 365 consultant,1
2026-08,nl,business-it-management,projectleider it,1
2026-08,nl,business-it-management,projectmanager it,2
2026-08,nl,business-it-management,technisch beheerder,1
2026-08,nl,informatica,.net developer,2
2026-08,nl,informatica,ai engineer,2
2026-08,nl,informatica,applicatiebeheerder,1
2026-08,nl,informatica,azure cloud engineer,1
2026-08,nl,informatica,back end developer,1
2026-08,nl,informatica,cloud architect,2
2026-08,nl,informatica,cloud engineer,2
2026-08,nl,informatica,data architect,1
2026-08,nl,informatica,data engineer,4
2026-08,nl,informatica,data scientist,1
2026-08,nl,informatica,developer,2
2026-08,nl,informatica,devops engineer,6
2026-08,nl,informatica,front end developer,2
2026-08,nl,informatica,front end engineer,1
2026-08,nl,informatica,full stack developer,1
2026-08,nl,informatica,fullstack developer,3
2026-08,nl,informatica,functioneel applicatiebeheerder,2
2026-08,nl,informatica,golang platform engineer,2
2026-08,nl,informatica,information security officer,1
2026-08,nl,informatica,it platform engineer,1
2026-08,nl,informatica,mlops engineer,1
2026-08,nl,informatica,php developer,2
2026-08,nl,informatica,plc software engineer,1
2026-08,nl,informatica,security consultant,2
2026-08,nl,informatica,security officer,3
2026-08,nl,informatica,software architect,1
2026-08,nl,informatica,software developer,2
2026-08,nl,informatica,software engineer,10
2026-08,nl,informatica,solutions architect,1
2026-08,nl,informatica,technical information security officer,1
2026-08,nl,informatica,technisch beheerder,1
2026-08,nl,informatica,test engineer,1
2026-08,nl,technische-informatica,plc software engineer,1
2026-08,p:noord-brabant,all,software engineer,5
2026-08,p:noord-brabant,informatica,software engineer,5
2026-08,p:noord-holland,all,cloud engineer,2
2026-08,p:noord-holland,all,data engineer,1
2026-08,p:noord-holland,all,devops engineer,1
2026-08,p:noord-holland,all,functioneel beheerder,1
2026-08,p:noord-holland,business-it-management,functioneel beheerder,1
2026-08,p:noord-holland,informatica,cloud engineer,2
2026-08,p:noord-holland,informatica,data engineer,1
2026-08,p:noord-holland,informatica,devops engineer,1
2026-08,p:utrecht,all,data engineer,1
2026-08,p:utrecht,all,developer,2
2026-08,p:utrecht,all,devops engineer,1
2026-08,p:utrecht,informatica,data engineer,1
2026-08,p:utrecht,informatica,developer,2
2026-08,p:utrecht,informatica,devops engineer,1
2026-08,p:zuid-holland,all,devops engineer,2
2026-08,p:zuid-holland,all,information security officer,1
2026-08,p:zuid-holland,all,security officer,3
2026-08,p:zuid-holland,all,software engineer,2
2026-08,p:zuid-holland,all,technical information security officer,1
2026-08,p:zuid-holland,informatica,devops engineer,2
2026-08,p:zuid-holland,informatica,information security officer,1
2026-08,p:zuid-holland,informatica,security officer,3
2026-08,p:zuid-holland,informatica,software engineer,2
2026-08,p:zuid-holland,informatica,technical information security officer,1
2026-08,r:groot-amsterdam,all,data engineer,1
2026-08,r:groot-amsterdam,all,devops engineer,1
2026-08,r:groot-amsterdam,all,functioneel beheerder,1
2026-08,r:groot-amsterdam,business-it-management,functioneel beheerder,1
2026-08,r:groot-amsterdam,informatica,data engineer,1
2026-08,r:groot-amsterdam,informatica,devops engineer,1
2026-08,r:haaglanden,all,devops engineer,2
2026-08,r:haaglanden,informatica,devops engineer,2
2026-08,r:midden-utrecht,all,data engineer,1
2026-08,r:midden-utrecht,informatica,data engineer,1
2026-08,r:zuidoost-brabant,all,software engineer,5
2026-08,r:zuidoost-brabant,informatica,software engineer,5
2026-09,nl,all,.net c# developer,4
2026-09,nl,all,.net developer,10
2026-09,nl,all,ai engineer,12
2026-09,nl,all,ai platform engineer,4
2026-09,nl,all,ai software engineer,3
2026-09,nl,all,applicatiebeheerder,9
2026-09,nl,all,automation engineer,5
2026-09,nl,all,azure cloud engineer,2
2026-09,nl,all,back end developer,4
2026-09,nl,all,bi engineer,3
2026-09,nl,all,business analist,7
2026-09,nl,all,business analyst,3
2026-09,nl,all,business data analyst,3
2026-09,nl,all,business informatie analist,2
2026-09,nl,all,business it traineeship regio groningen,3
2026-09,nl,all,cloud architect,1
2026-09,nl,all,cloud consultant,3
2026-09,nl,all,cloud engineer,6
2026-09,nl,all,customer support engineer,3
2026-09,nl,all,cybersecurity consultant,5
2026-09,nl,all,data analist,9
2026-09,nl,all,data analyst,3
2026-09,nl,all,data architect,3
2026-09,nl,all,data engineer,23
2026-09,nl,all,data scientist,7
2026-09,nl,all,developer,6
2026-09,nl,all,devops engineer,14
2026-09,nl,all,embedded software engineer,7
2026-09,nl,all,engineer infra,3
2026-09,nl,all,front end developer,4
2026-09,nl,all,front end engineer,2
2026-09,nl,all,frontend design systems developer,3
2026-09,nl,all,full stack developer,7
2026-09,nl,all,full stack developer devops,3
2026-09,nl,all,fullstack developer,3
2026-09,nl,all,functioneel applicatiebeheerder,2
2026-09,nl,all,functioneel beheerder,10
2026-09,nl,all,golang platform engineer,2
