month,geo,programme,seniority,n
2026-08,c:agglomeratie-haarlem,all,all,2
2026-08,c:agglomeratie-haarlem,all,entry,1
2026-08,c:agglomeratie-haarlem,all,internship,1
2026-08,c:agglomeratie-haarlem,all,senior,1
2026-08,c:agglomeratie-haarlem,informatica,all,2
2026-08,c:agglomeratie-haarlem,informatica,entry,1
2026-08,c:agglomeratie-haarlem,informatica,internship,1
2026-08,c:agglomeratie-haarlem,informatica,senior,1
2026-08,c:agglomeratie-leiden-en-bollenstreek,all,all,1
2026-08,c:agglomeratie-leiden-en-bollenstreek,all,senior,1
2026-08,c:agglomeratie-leiden-en-bollenstreek,informatica,all,1
2026-08,c:agglomeratie-leiden-en-bollenstreek,informatica,senior,1
2026-08,c:agglomeratie-s-gravenhage,all,all,14
2026-08,c:agglomeratie-s-gravenhage,all,entry,2
2026-08,c:agglomeratie-s-gravenhage,all,junior,2
2026-08,c:agglomeratie-s-gravenhage,all,senior,4
2026-08,c:agglomeratie-s-gravenhage,all,unknown,8
2026-08,c:agglomeratie-s-gravenhage,business-it-management,all,4
2026-08,c:agglomeratie-s-gravenhage,business-it-management,entry,1
2026-08,c:agglomeratie-s-gravenhage,business-it-management,junior,1
2026-08,c:agglomeratie-s-gravenhage,business-it-management,unknown,3
2026-08,c:agglomeratie-s-gravenhage,informatica,all,9
2026-08,c:agglomeratie-s-gravenhage,informatica,senior,4
2026-08,c:agglomeratie-s-gravenhage,informatica,unknown,5
2026-08,c:arnhem-nijmegen,all,all,6
2026-08,c:arnhem-nijmegen,all,senior,3
2026-08,c:arnhem-nijmegen,all,unknown,3
2026-08,c:arnhem-nijmegen,business-it-management,all,2
2026-08,c:arnhem-nijmegen,business-it-management,unknown,2
2026-08,c:arnhem-nijmegen,informatica,all,4
2026-08,c:arnhem-nijmegen,informatica,senior,3
2026-08,c:arnhem-nijmegen,informatica,unknown,1
2026-08,c:delft-en-westland,all,all,4
2026-08,c:delft-en-westland,all,medior,1
2026-08,c:delft-en-westland,all,senior,1
2026-08,c:delft-en-westland,all,unknown,2
2026-08,c:delft-en-westland,business-it-management,all,1
2026-08,c:delft-en-westland,business-it-management,unknown,1
2026-08,c:delft-en-westland,informatica,all,2
2026-08,c:delft-en-westland,informatica,unknown,2
2026-08,c:groot-amsterdam,all,all,66
2026-08,c:groot-amsterdam,all,entry,7
2026-08,c:groot-amsterdam,all,internship,1
2026-08,c:groot-amsterdam,all,junior,6
2026-08,c:groot-amsterdam,all,medior,4
2026-08,c:groot-amsterdam,all,senior,17
2026-08,c:groot-amsterdam,all,unknown,38
2026-08,c:groot-amsterdam,business-it-management,all,7
2026-08,c:groot-amsterdam,business-it-management,entry,1
2026-08,c:groot-amsterdam,business-it-management,junior,1
2026-08,c:groot-amsterdam,business-it-management,senior,2
2026-08,c:groot-amsterdam,business-it-management,unknown,4
2026-08,c:groot-amsterdam,informatica,all,43
2026-08,c:groot-amsterdam,informatica,entry,4
2026-08,c:groot-amsterdam,informatica,junior,4
2026-08,c:groot-amsterdam,informatica,medior,4
2026-08,c:groot-amsterdam,informatica,senior,14
2026-08,c:groot-amsterdam,informatica,unknown,21
2026-08,c:groot-amsterdam,technische-informatica,all,1
2026-08,c:groot-amsterdam,technische-informatica,unknown,1
2026-08,c:groot-rijnmond,all,all,18
2026-08,c:groot-rijnmond,all,entry,1
2026-08,c:groot-rijnmond,all,junior,1
2026-08,c:groot-rijnmond,all,medior,1
2026-08,c:groot-rijnmond,all,senior,2
2026-08,c:groot-rijnmond,all,unknown,14
2026-08,c:groot-rijnmond,business-it-management,all,3
2026-08,c:groot-rijnmond,business-it-management,unknown,3
2026-08,c:groot-rijnmond,informatica,all,12
2026-08,c:groot-rijnmond,informatica,entry,1
2026-08,c:groot-rijnmond,informatica,junior,1
2026-08,c:groot-rijnmond,informatica,senior,2
2026-08,c:groot-rijnmond,informatica,unknown,9
2026-08,c:het-gooi-en-vechtstreek,all,all,1
2026-08,c:het-gooi-en-vechtstreek,all,medior,1
2026-08,c:het-gooi-en-vechtstreek,business-it-management,all,1
2026-08,c:het-gooi-en-vechtstreek,business-it-management,medior,1
2026-08,c:het-gooi-en-vechtstreek,informatica,all,1
2026-08,c:het-gooi-en-vechtstreek,informatica,medior,1
2026-08,c:kop-van-noord-holland,all,all,2
2026-08,c:kop-van-noord-holland,all,unknown,2
2026-08,c:kop-van-noord-holland,informatica,all,2
2026-08,c:kop-van-noord-holland,informatica,unknown,2
2026-08,c:midden-limburg,all,all,1
2026-08,c:midden-limburg,all,entry,1
2026-08,c:midden-limburg,all,internship,1
2026-08,c:midden-noord-brabant,all,all,3
2026-08,c:midden-noord-brabant,all,medior,1
2026-08,c:midden-noord-brabant,all,unknown,2
2026-08,c:midden-noord-brabant,informatica,all,1
2026-08,c:midden-noord-brabant,informatica,medior,1
2026-08,c:noord-friesland,all,all,1
2026-08,c:noord-friesland,all,entry,1
2026-08,c:noord-friesland,all,junior,1
2026-08,c:noord-limburg,all,all,1
2026-08,c:noord-limburg,all,unknown,1
2026-08,c:noord-limburg,business-it-management,all,1
2026-08,c:noord-limburg,business-it-management,unknown,1
2026-08,c:noord-overijssel,all,all,4
2026-08,c:noord-overijssel,all,senior,1
2026-08,c:noord-overijssel,all,unknown,3
2026-08,c:noord-overijssel,informatica,all,2
2026-08,c:noord-overijssel,informatica,senior,1
2026-08,c:noord-overijssel,informatica,unknown,1
2026-08,c:noordoost-noord-brabant,all,all,8
2026-08,c:noordoost-noord-brabant,all,senior,5
2026-08,c:noordoost-noord-brabant,all,unknown,3
